id	Nombre	Apellido	Segundo apellido	Dependencia	Puesto
9767586d-e749-4175-ac39-06acf45261f4	YASMIN SANDRA 	ZORRILLA	HERNÁNDEZ	Junta Intermunicipal de Agua Potable y Alcantarillado de Zacatecas	ENCARGADA DE LA SECCIÓN DE INVENTARIOS Y RESGUARDOS
395be1de-16d4-46cc-a313-2f5ecbb06c7b	Wendy Guadalupe	Valdez	Organista	Poder Judicial del Estado de Zacatecas	Auxiliar Administrativo
09ee274f-c2ac-469f-b49e-47c0009645e8	VLADIMIR	MARTÍNEZ	GARCÍA	Municipio de Guadalupe	Auxiliar Administrativo
73db8faf-5d62-4037-9065-8cdc531ff597	VICTOR MANUEL 	TORRES	SALDAÑA	Junta Intermunicipal de Agua Potable y Alcantarillado de Zacatecas	JEFE DE SECCION DE VEHICULOS
a21ca159-a316-47ef-82a1-bae9bffbcd1b	VICTOR JESÚS	MURILLO	GARAY	Municipio de Guadalupe	SUBSECRETARIO DE BIENESTAR SOCIAL
0eca7ece-22e9-4a60-8fa9-f6b8f2f8d758	VICTOR HUGO	JUAREZ	SANCHEZ	Municipio de Villa de Cos	ENCARGADO ECOLOGIA
d7c43ac7-74d7-4979-9603-7660033b72a6	Verónica Yvette	Hernández	López de Lara 	Auditoría Superior del Estado de Zacatecas	Jefa de la Unidad General de Administración
ea896e2c-0bfe-4ea2-a9a2-9d650327e11d	VERÓNICA 	FAJARDO	LAMAS	Fiscalía General de Justicia del Estado	TITULAR DEL ÓRGANO INTERNO DE CONTROL
92d23bac-d331-4e45-99f8-af3801370a13	VALERIA PAHOLA 	MEDINA	SIERRA	Fiscalía General de Justicia del Estado	DIRECTORA DE FINANZAS
4e03dd9c-a10b-43d3-bd5a-06a2d5169d9d	Valeria Concepción	Cazares	Salas	Municipio de General Pánfilo Natera	Directora General del SMDIF
ac6be05b-50b4-40d4-b52a-ed2842ddecad	SILVESTRE	CARLOS	CHÁVEZ	Municipio de Guadalupe	Auxiliar Administrativo
3db03114-2de0-4d0e-bb0c-902fbd8544e6	Shiomara	Soria	Giacoman	Municipio de Miguel Auza	Sindico
8ff80ba1-5ad4-47b2-b55b-9ca58b3baa01	SERGEY ULISES	GUTIÉRREZ	VALLE	Municipio de Guadalupe	Coordinador Jurídico 
76267ef0-6232-4821-b2ca-0d2a6b76b2f6	SARA	MORENO	ARGUELLES	Municipio de Guadalupe	SUBSECRETARIA DE ADMINISTRACIÓN
d5358fbd-80c5-4bfd-96bc-c717f83ca837	Sandra	Carrillo	Alonso	Municipio de Calera	Directora de Obras y Servicios Públicos Municipales
62d27103-dae5-4407-9db0-686e14e0c8aa	Sandra	Rodríguez	Frausto	Tribunal de Justicia Administrativa del Estado de Zacatecas	Auxiliar
dbafb75f-ed72-408b-b701-072256d55195	SALVADOR EDUARDO	VILLA 	ALMARÁZ	Fiscalía General de Justicia del Estado	FISCAL ESPECIALIZADO EN COMBATE A LA CORRUPCIÓN
1dc235e3-d61e-4c5f-b290-7746daa75816	SALVADOR	"NAVARRO"	RAMOS	Fiscalía General de Justicia del Estado	AUXILIAR ADMINISTRATIVO
3ade0a6a-9962-4b9e-87a1-beef7f714888	ROGELIO	VEGA	DUEÑAS	Municipio de Guadalupe	Auxiliar Administrativo
5ff36d8b-2f9b-4bd3-8f67-88e00db21fbf	RODRIGO MIGUEL	CHÁVEZ 	GÁNDARA	Fiscalía General de Justicia del Estado	AUXILIAR ADMINISTRATIVO
c2c9c076-e7e6-41f9-b392-834e033daede	Rocío	Santos	Del Muro	Poder Judicial del Estado de Zacatecas	Encargada de Almacén y Compras
fff43ff8-2914-41e6-a7ec-da362bc7fa8d	Rebeca 	Marín 	Marín 	Municipio de Susticacán	Tesorera Municipal 
3bcf3b15-3cfc-441e-b498-6951e427ecfa	REBECA	GARCÍA	ITURBIDE	Municipio de Guadalupe	Jefa del Departamento de Ecología y Medio Ambiente
a6bac13a-f32b-44fb-af43-2a1f0a4bbf02	Raúl 	Brito	Berumen	Auditoría Superior del Estado de Zacatecas	Auditor Superior del Estado
5f286935-d3d5-4826-9983-d7218057edb3	Raúl	Carrillo	Del Muro	Poder Judicial del Estado de Zacatecas	Director de Escuela Judicial
759f43a8-317d-48f8-9508-67fa754971b6	RAMÓN	ARNADA	DE ALBA	Municipio de Guadalupe	Auxiliar Administrativo
4eaf2592-5f93-4280-93cf-9dde6d10c1c8	PIER MICHEL	RIOS	RUIZ	Municipio de Villa de Cos	PRESIDENTE MUNICIPAL
0c99a852-3f78-42a1-9b71-97dee2517d1b	Pablo Adrian	Casas	Barboza	Municipio de Miguel Auza	Desarrollo Económico y social
d704ae8a-1f81-4973-9212-c41a1e660613	OSCAR MANUEL	GÓMEZ	REYES	Junta Intermunicipal de Agua Potable y Alcantarillado de Zacatecas	AUXILIAR DE COMPRAS
47cdcfee-2aed-4dcc-b7da-72b963a06bab	ÓSCAR AUGUSTO	SOLÍS	GALVÁN	Fiscalía General de Justicia del Estado	DIRECTOR DE SERVICIOS GENERALES
48362e55-d73f-4efc-9c2f-68eca8635108	Oralia 	Suarez 	Cabral	Municipio de Susticacán	Directora de Desarrollo Económico y Social 
6ab383fc-eb79-4cd9-a844-bac7bbeaf247	OMAR	ORTIZ	CABRERA	Municipio de Guadalupe	Jefe del Departamento de Fraccionamientos
d6d88e2b-88e4-4412-a8f8-aa093ce90d9a	OLIVIA	BENAVIDADES	CASTRO	Municipio de Guadalupe	JEFE DE DEPARTAMENTO
add917e8-9a9e-46dc-a78c-0cb886a772f6	Ofelia Fuensanta	Rendón	Hernández	Poder Judicial del Estado de Zacatecas	Directora de Informática
ff27ad58-fc82-4a96-aa48-82486b14074d	NÉSTOR 	ESCOBAR	LÓPEZ	Fiscalía General de Justicia del Estado	AUXILIAR ADMINISTRATIVO
a235734c-cff2-4996-a38b-0895b8491321	Nelly	Moran	López	Instituto Electoral del Estado de Zacatecas	Coordinadora de Recursos Financieros
8c78df8e-6bbe-4a5a-b285-d07de5d408f5	"NAYELI DEYANIRA"	ROMÁN	ACUÑA	Fiscalía General de Justicia del Estado	Directora de Planeación, Programación y Presupuesto
fbd98c40-5db8-4b1b-a2b3-44779e3975ee	Mónica	Acosta	Aranda	Municipio de General Pánfilo Natera	Auxiliar administrativo
b8889bb1-ac3d-4d26-bc12-db1864e7488a	Miguel Eliobardo	Romero	Badillo	Instituto Electoral del Estado de Zacatecas	Asesor del Comité
f3bd0f4e-bf7f-4084-aab0-6d3af3abfe2e	Miguel Ángel	Muñoz	Duarte	Instituto Electoral del Estado de Zacatecas	Vocal del Comité
a6244a69-7ce8-47e8-ad1b-6b010d2469a5	MIGUEL ANGEL	DEL REAL 	RODRIGUEZ	Junta Intermunicipal de Agua Potable y Alcantarillado de Zacatecas	DIRECTOR ADMINISTRATIVO
2e42c7b0-3688-472d-9229-726d30ad4f36	Mayra Yessenia	Salas 	Salas	Municipio de General Pánfilo Natera	Encargada de Recursos Humanos
dacf8874-116b-44e8-a917-9709bac31630	Mayra Griselda	Ruvalcaba	Moreno	Comisión de Derechos Humanos del Estado	Secretaria Ejecutiva
cc03c2df-bf86-49bc-8228-7b2c4f5cfac2	MARISOL 	ROBLES	RODRÍGUEZ	Fiscalía General de Justicia del Estado	AUXILIAR ADMINISTRATIVO
eaf2a40b-c49b-4879-b20d-961a33a8305b	MARIO ADRIAN	REYES	SANTANA	Municipio de Genaro Codina	PRESIDENTE MUNICIPAL
dea80289-5b5a-4147-a042-c83564d13d8c	Maribel	Méndez	García	Municipio de General Pánfilo Natera	Auxiliar administrativo
0ee47254-25a7-4f34-9dae-70284248cdbd	MARÍA ISABEL	VERA	MÁRQUEZ	Fiscalía General de Justicia del Estado	AUXILIAR ADMINISTRATIVA
9c053d14-fe10-4af2-aaa2-68627f560559	María Engracia	De Luna	López	Poder Judicial del Estado de Zacatecas	Jefe de Oficina
043afa6f-efac-4527-9b73-b6973444261a	MARIA ENEREIDA	URIBE	LEYVA	Municipio de Villa de Cos	TESORERA
188c287c-9f3e-45a4-8da0-7d318d8e204f	María del Consuelo	Romo	Bañuelos	Poder Judicial del Estado de Zacatecas	Secretaria Auxiliar 01
e79ac79f-d982-4067-8dd7-cb70747740f0	MARÍA DEL CARMEN	DE LA TORRE	MÉNDEZ	Municipio de Guadalupe	Auxiliar Administrativo
be83782f-4a70-465b-8c58-00beb44207e2	MARIA DE LOURDES	MARTÍNEZ	PÉREZ	Municipio de Guadalupe	SECRETARIA DE LA TESORERÍA Y FINANZAS
6d59b9de-3943-4bb4-ac62-6c7b595f1fc1	MARÍA DE LA LUZ	MUÑOZ	MORALES	Municipio de Guadalupe	SINDICO MUNICIPAL
42213746-ac47-49e1-904b-0f98d1d1594e	MARÍA DE JESÚS 	PUENTE	GÓMEZ	Junta Intermunicipal de Agua Potable y Alcantarillado de Zacatecas	AUXILIAR DE COMPRAS
3998684b-a985-4c8f-838f-62b8582ec83c	María de Jesús	Briones	Mauricio	Municipio de General Pánfilo Natera	Sindico Municipal
36c6f5a4-2376-4965-b7a2-4fc122b1f346	MARIA CRISTINA	AGUILERA	GONZALEZ	Municipio de Villa de Cos	SINDICA
5e2207b8-c57e-4800-8c73-cc9cbe343450	María Concepción Irene	García	Almeída	Poder Judicial del Estado de Zacatecas	Oficial Mayor
8d8fd6b5-778b-4948-a976-c0722e033511	María Angelica	Galindo	Rivera	Instituto Regional del Patrimonio Mundial en Zacatecas	Coordinadora Administrativa
090ab3a3-d420-4385-b51e-92771b4064fd	Marcos 	Marin	Sanchez	Municipio de Susticacán	Sindico Municipal 
faa1c3b6-739e-4272-9515-36eb7b898b57	Manuela	Moreira	Cardona	Tribunal de Justicia Administrativa del Estado de Zacatecas	Jefa del área de contabilidad
997aa127-c6a3-4c94-b7d4-9964b8a42f5a	Manuel de Jesús	Palacios	Mata	Instituto Zacatecano de Transparencia, Acceso a la Información y Protección de Datos Personales	Directo Addministrativo
ca7f80d3-2780-4129-b905-137aaba5ed2f	Ma. Guadalupe	Cortez 	Muñoz	Auditoría Superior del Estado de Zacatecas	Jefa de Departamento de Recursos Materiales y Servicios
d63d358b-fa22-4810-8623-437687e298de	Ma. del Consuelo	Castañeda	Hidalgo	Comisión de Derechos Humanos del Estado	Directora del Centro de Estudios, Investigación y Divulgación en Derechos Humanos
ec68fb44-c639-4cff-b9b3-97afdddf1110	Ma. de Jesús	Pérez	Rico	Municipio de General Pánfilo Natera	Encargada de compras
2838f99b-18c4-4489-91d3-b6c9143b6f77	LUIS RICARDO	GARCÍA	GARCÍA	Municipio de Guadalupe	SECRETARIO DE OBRAS PÚBLICAS
d724e3ef-7ea0-44a4-b68a-2235b2585559	LUIS MANUEL	RAMOS	FLORES	Fiscalía General de Justicia del Estado	TITULAR DE LA UNIDAD JURÍDICA
dfb26c44-5b60-45e6-9a7d-30ec081c1c69	LUIS ALFONSO	VAZQUEZ	CASTILLO	Municipio de Villa de Cos	SUBDIRECTOR DESARROLLO ECONOMICO
13aa1452-0904-4eda-88f5-3e7994498a32	LUIS ALFONSO	VAZQUEZ	CASTILLO	Municipio de Villa de Cos	SUBDIRECTOR DESARROLLO ECONOMICO
437a45d5-1112-42ab-9b16-1c267c768634	Leticia 	Casas 	Rodríguez	Poder Judicial del Estado de Zacatecas	Auxiliar Administrativo
e6714ef4-9d85-4e3f-a28d-0b90bbdccdfa	LETICIA	VALDEZ	ESQUIVEL	Municipio de Genaro Codina	TITULAR DEL ORGANO INTERNO DE CONTROL
fa7782c7-f962-48d2-bd02-398b826ecb90	Leonel	Domínguez	Márquez	Tribunal de Justicia Administrativa del Estado de Zacatecas	Director Administativo
6e439d0d-05be-4baf-bae3-909448e84f3a	KARINA	MARTÍNEZ	ORTIZ	Municipio de Guadalupe	Jefa del Departamento de  Permisos y Licencias para la Construcción
